type, generationCounter, x1, y1, startX, startY, goalX, goalY, hitTarget, fitness, novelty, successStandard, successNovelty, successRandom, sessionstandard, 1, 178.42244814219902, 249.94161181453524, 250, 490, 50, 50, False, 12, 0, False, False, False, 0
novelty, 1, 176.80553990877664, 249.173500380302, 250, 490, 50, 50, False, 0, 452, False, False, False, 0
random, 1, 224.42734726088713, 247.03626943475655, 250, 490, 50, 50, False, 0, 0, False, False, False, 0
standard, 1, 504.12668181793396, 283.1270224131045, 250, 490, 50, 50, False, 1, 0, False, False, False, 0
novelty, 1, 503.2030015490704, 306.78807227559196, 250, 490, 50, 50, False, 0, 848, False, False, False, 0
random, 1, 190.8831266173962, 249.12837028607885, 250, 490, 50, 50, False, 0, 0, False, False, False, 0
standard, 1, 207.01337319558064, 247.30691674986952, 250, 490, 50, 50, False, 1, 0, False, False, False, 0
novelty, 1, 500.0758058505964, 145.1335570674311, 250, 490, 50, 50, False, 0, 881, False, False, False, 0
random, 1, 310.0917641407332, 244.96049591578253, 250, 490, 50, 50, False, 0, 0, False, False, False, 0
standard, 1, 501.7093256044611, 149.56722065352253, 250, 490, 50, 50, False, 1, 0, False, False, False, 0
novelty, 1, 288.1127857975816, 246.21895829705628, 250, 490, 50, 50, False, 0, 469, False, False, False, 0
random, 1, 504.7936932627556, 296.58907771228724, 250, 490, 50, 50, False, 0, 0, False, False, False, 0
standard, 1, 207.70273193842863, 247.28653904149152, 250, 490, 50, 50, False, 1, 0, False, False, False, 0
novelty, 1, 262.2291665155879, 248.28565515142748, 250, 490, 50, 50, False, 0, 445, False, False, False, 0
random, 1, -1.0713502983566592, 321.7296318201345, 250, 490, 50, 50, False, 0, 0, False, False, False, 0
standard, 1, 243.43953721214694, 247.97416427213793, 250, 490, 50, 50, False, 1, 0, False, False, False, 0
novelty, 1, 165.94554474247823, 246.99747778484422, 250, 490, 50, 50, False, 0, 463, False, False, False, 0
random, 1, 301.76112061837125, 247.58610273115076, 250, 490, 50, 50, False, 0, 0, False, False, False, 0
